"","gene_id","seqnames","start","end","width","strand","source","type","score","phase","gene_version","gene_source","gene_biotype","transcript_id","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","Orthogroup"
"1","CSP40.g1","CSP40.scaffold00002",186,495,310,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000156"
"2","CSP40.g10","CSP40.scaffold00005",20261,22231,1971,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0006737"
"3","CSP40.g100","CSP40.scaffold00009",174562,174915,354,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000147"
"4","CSP40.g1000","CSP40.scaffold00038",234060,234533,474,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0011470"
"5","CSP40.g10000","CSP40.scaffold00667",2214,6027,3814,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0023992"
"6","CSP40.g10001","CSP40.scaffold00667",9649,10306,658,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0023993"
"7","CSP40.g10002","CSP40.scaffold00667",10387,10928,542,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0023994"
"8","CSP40.g10003","CSP40.scaffold00667",11404,14474,3071,"+","WormBase","gene",NA,NA,"1","WormBase","nontranslating_CDS",NA,NA,NA,NA,NA,NA,NA
"9","CSP40.g10004","CSP40.scaffold00667",15530,15949,420,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0017868"
"10","CSP40.g10005","CSP40.scaffold00667",17250,18157,908,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0016727"
"11","CSP40.g10006","CSP40.scaffold00667",25323,25700,378,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0016727"
"12","CSP40.g10007","CSP40.scaffold00667",26601,27283,683,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0012913"
"13","CSP40.g10008","CSP40.scaffold00667",29435,33867,4433,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0013791"
"14","CSP40.g10009","CSP40.scaffold00667",33998,34870,873,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000442"
"15","CSP40.g1001","CSP40.scaffold00038",234684,235262,579,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0007598"
