"","X","seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_version","gene_name","gene_source","gene_biotype","transcript_id","transcript_name","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","tag"
"1",1,"V",1635,6634,5000,"+","WormBase","gene",NA,NA,"WBGene00015153",1,"B0348.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"V",103394,104077,684,"-","WormBase","gene",NA,NA,"WBGene00004496",1,"rps-27","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"V",147521,151388,3868,"-","WormBase","gene",NA,NA,"WBGene00021002",1,"W03F9.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"V",166987,176823,9837,"+","WormBase","gene",NA,NA,"WBGene00022434",1,"Y108G3AL.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"V",204382,209755,5374,"+","WormBase","gene",NA,NA,"WBGene00017080",1,"lec-12","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"V",276985,281716,4732,"-","WormBase","gene",NA,NA,"WBGene00021983",1,"npr-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"V",334601,336450,1850,"-","WormBase","gene",NA,NA,"WBGene00020708",1,"dmd-8","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"V",724332,728004,3673,"-","WormBase","gene",NA,NA,"WBGene00001564",1,"icl-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"V",753283,755124,1842,"+","WormBase","gene",NA,NA,"WBGene00005642",1,"srp-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"V",894909,899187,4279,"-","WormBase","gene",NA,NA,"WBGene00003550",1,"nas-32","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
