"","gene_id","seqnames","start","end","width","strand","source","type","score","phase","gene_version","gene_source","gene_biotype","transcript_id","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","gene_name","Orthogroup"
"1","Csp11.Scaffold0.g1","Scaffold0",37,444,408,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0024239"
"2","Csp11.Scaffold1.g2","Scaffold1",1,1179,1179,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002514"
"3","Csp11.Scaffold10.g42","Scaffold10",812,2487,1676,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008612"
"4","Csp11.Scaffold10.g43","Scaffold10",3146,5113,1968,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0013221"
"5","Csp11.Scaffold10.g44","Scaffold10",5440,7612,2173,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0013222"
"6","Csp11.Scaffold10.g45","Scaffold10",8672,8943,272,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002285"
"7","Csp11.Scaffold10.g46","Scaffold10",9150,11286,2137,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0001526"
"8","Csp11.Scaffold10.g47","Scaffold10",12096,13370,1275,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011846"
"9","Csp11.Scaffold10.g48","Scaffold10",13629,14140,512,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0004498"
"10","Csp11.Scaffold10.g49","Scaffold10",14372,16340,1969,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0004498"
"11","Csp11.Scaffold10.g50","Scaffold10",17307,17540,234,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"12","Csp11.Scaffold10.g51","Scaffold10",17919,18350,432,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0017936"
"13","Csp11.Scaffold10.g52","Scaffold10",20155,22235,2081,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011847"
"14","Csp11.Scaffold10.g53","Scaffold10",25601,25900,300,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"15","Csp11.Scaffold10.g54","Scaffold10",29566,29829,264,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"16","Csp11.Scaffold10.g55","Scaffold10",30478,31614,1137,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008613"
"17","Csp11.Scaffold10.g56","Scaffold10",34941,42758,7818,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011848"
"18","Csp11.Scaffold10.g57","Scaffold10",45607,50400,4794,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008614"
"19","Csp11.Scaffold10.g58","Scaffold10",53999,54301,303,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"20","Csp11.Scaffold10.g59","Scaffold10",57199,58177,979,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011849"
"21","Csp11.Scaffold102.g550","Scaffold102",766,1308,543,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0004213"
"22","Csp11.Scaffold105.g551","Scaffold105",695,2844,2150,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002085"
"23","Csp11.Scaffold109.g552","Scaffold109",570,2140,1571,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0004299"
"24","Csp11.Scaffold11.g60","Scaffold11",581,1541,961,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0019871"
"25","Csp11.Scaffold111.g553","Scaffold111",156,1884,1729,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0010112"
"26","Csp11.Scaffold115.g554","Scaffold115",1284,1550,267,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"27","Csp11.Scaffold118.g555","Scaffold118",791,1216,426,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0024240"
"28","Csp11.Scaffold118.g556","Scaffold118",2389,3477,1089,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0024240"
"29","Csp11.Scaffold12.g61","Scaffold12",1649,2047,399,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002688"
"30","Csp11.Scaffold121.g558","Scaffold121",270,663,394,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011407"
"31","Csp11.Scaffold122.g559","Scaffold122",595,1531,937,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0005262"
