"","gene_id","seqnames","start","end","width","strand","source","type","score","phase","gene_version","gene_name","gene_source","gene_biotype","transcript_id","transcript_name","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","tag","Orthogroup"
"1","WBGene00000307","I",9581885,9591354,9470,"+","WormBase","gene",NA,NA,"1","Cbr-bli-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0010044"
"2","WBGene00000312","III",10299614,10300924,1311,"-","WormBase","gene",NA,NA,"1","Cbr-glb-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0002195"
"3","WBGene00000324","V",11874411,11883367,8957,"+","WormBase","gene",NA,NA,"1","Cbr-exp-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0011410"
"4","WBGene00000328","III",120404,123973,3570,"-","WormBase","gene",NA,NA,"1","Cbr-fem-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0008104"
"5","WBGene00000329","IV",4390949,4394091,3143,"-","WormBase","gene",NA,NA,"1","Cbr-fem-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0011975"
"6","WBGene00000332","X",8164674,8165942,1269,"-","WormBase","gene",NA,NA,"1","CBG14137","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000516"
"7","WBGene00000333","X",8163283,8164564,1282,"-","WormBase","gene",NA,NA,"1","CBG14136","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000516"
"8","WBGene00000343","X",8165919,8167990,2072,"-","WormBase","gene",NA,NA,"1","Cbr-mai-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0011012"
"9","WBGene00000365","X",13321444,13326552,5109,"+","WormBase","gene",NA,NA,"1","CBG16767","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000244"
"10","WBGene00023521","III",12070280,12073911,3632,"+","WormBase","gene",NA,NA,"1","CBG00001","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009551"
"11","WBGene00023522","III",12076608,12077007,400,"-","WormBase","gene",NA,NA,"1","CBG00002","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009231"
"12","WBGene00023523","III",12079255,12080113,859,"+","WormBase","gene",NA,NA,"1","CBG00003","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0016127"
"13","WBGene00023525","III",12091221,12113489,22269,"+","WormBase","gene",NA,NA,"1","Cbr-fbn-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009550"
"14","WBGene00023526","III",12114106,12118645,4540,"-","WormBase","gene",NA,NA,"1","Cbr-upp-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0003751"
"15","WBGene00023527","III",12120409,12129071,8663,"-","WormBase","gene",NA,NA,"1","Cbr-baz-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001755"
"16","WBGene00023528","III",12141108,12144449,3342,"+","WormBase","gene",NA,NA,"1","CBG00011","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0010398"
"17","WBGene00023529","III",12148499,12164409,15911,"+","WormBase","gene",NA,NA,"1","CBG00014","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000040"
"18","WBGene00023530","III",12160729,12160875,147,"-","WormBase","gene",NA,NA,"1","CBG00015","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0020715"
"19","WBGene00023532","III",12169374,12170807,1434,"-","WormBase","gene",NA,NA,"1","CBG00017","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000199"
"20","WBGene00023533","III",12173529,12190803,17275,"-","WormBase","gene",NA,NA,"1","Cbr-lin-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001018"
"21","WBGene00023536","III",12201638,12206129,4492,"+","WormBase","gene",NA,NA,"1","Cbr-egl-45","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0008735"
"22","WBGene00023537","III",12215139,12219887,4749,"-","WormBase","gene",NA,NA,"1","Cbr-egl-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0008736"
"23","WBGene00023538","III",12245937,12250179,4243,"+","WormBase","gene",NA,NA,"1","Cbr-cyk-7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0008737"
"24","WBGene00023539","III",12269854,12281720,11867,"+","WormBase","gene",NA,NA,"1","Cbr-mab-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0002193"
"25","WBGene00023540","III",12284341,12285499,1159,"+","WormBase","gene",NA,NA,"1","Cbr-snu-23","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0008738"
"26","WBGene00023541","III",12286423,12288524,2102,"+","WormBase","gene",NA,NA,"1","CBG00031","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0008739"
"27","WBGene00023542","III",12292055,12297456,5402,"+","WormBase","gene",NA,NA,"1","CBG00032","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0003267"
"28","WBGene00023543","III",12298627,12301453,2827,"+","WormBase","gene",NA,NA,"1","Cbr-mtx-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0004542"
"29","WBGene00023544","III",12301886,12302720,835,"-","WormBase","gene",NA,NA,"1","CBG00034","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0017069"
"30","WBGene00023545","III",12302904,12307278,4375,"-","WormBase","gene",NA,NA,"1","Cbr-pcp-1.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001968"
"31","WBGene00023546","III",12310288,12314263,3976,"+","WormBase","gene",NA,NA,"1","Cbr-pcp-1.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001968"
"32","WBGene00023547","III",12321799,12342267,20469,"+","WormBase","gene",NA,NA,"1","Cbr-cdh-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001371"
"33","WBGene00023548","III",12345317,12354612,9296,"-","WormBase","gene",NA,NA,"1","CBG00040","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0012130"
"34","WBGene00023549","III",12355445,12357284,1840,"+","WormBase","gene",NA,NA,"1","CBG00041","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0018340"
"35","WBGene00023550","III",12357922,12358444,523,"+","WormBase","gene",NA,NA,"1","CBG00042","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","WBGene00023551","III",12364837,12365446,610,"+","WormBase","gene",NA,NA,"1","CBG00043","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0002193"
"37","WBGene00023552","X",14050805,14064769,13965,"-","WormBase","gene",NA,NA,"1","Cbr-pqn-18","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0004636"
"38","WBGene00023553","X",14090339,14091105,767,"+","WormBase","gene",NA,NA,"1","Cbr-gpc-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0016128"
"39","WBGene00023554","X",14092331,14095144,2814,"-","WormBase","gene",NA,NA,"1","Cbr-bcat-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0004637"
"40","WBGene00023555","X",14100949,14112218,11270,"-","WormBase","gene",NA,NA,"1","CBG00051","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0011999"
"41","WBGene00023556","X",14109099,14112218,3120,"+","WormBase","gene",NA,NA,"1","CBG00052","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013278"
"42","WBGene00023557","X",14119408,14120793,1386,"+","WormBase","gene",NA,NA,"1","CBG00055","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000517"
"43","WBGene00023558","X",14122594,14126855,4262,"-","WormBase","gene",NA,NA,"1","CBG00056","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0015452"
"44","WBGene00023559","X",14139270,14141475,2206,"+","WormBase","gene",NA,NA,"1","CBG00059","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0020716"
"45","WBGene00023560","X",14143229,14144941,1713,"+","WormBase","gene",NA,NA,"1","CBG00060","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0017070"
"46","WBGene00023561","X",14146715,14147335,621,"+","WormBase","gene",NA,NA,"1","CBG00061","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0014260"
"47","WBGene00023562","X",14147419,14149188,1770,"-","WormBase","gene",NA,NA,"1","CBG00062","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009036"
"48","WBGene00023564","X",14175296,14193774,18479,"+","WormBase","gene",NA,NA,"1","Cbr-gei-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009035"
"49","WBGene00023565","X",14194857,14195754,898,"-","WormBase","gene",NA,NA,"1","Cbr-abf-6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0012000"
"50","WBGene00023566","X",14197072,14197858,787,"-","WormBase","gene",NA,NA,"1","Cbr-abf-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0002604"
"51","WBGene00023567","X",14198140,14200349,2210,"-","WormBase","gene",NA,NA,"1","Cbr-str-123","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000018"
"52","WBGene00023568","X",14200870,14202262,1393,"-","WormBase","gene",NA,NA,"1","Cbr-str-124","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000018"
"53","WBGene00023569","X",14205097,14209020,3924,"-","WormBase","gene",NA,NA,"1","Cbr-alh-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009034"
"54","WBGene00023570","X",14219756,14222407,2652,"+","WormBase","gene",NA,NA,"1","Cbr-ilc-17.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009033"
"55","WBGene00023571","X",14223502,14225932,2431,"-","WormBase","gene",NA,NA,"1","Cbr-cept-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009031"
"56","WBGene00023572","X",14231344,14235845,4502,"+","WormBase","gene",NA,NA,"1","CBG00078","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000262"
"57","WBGene00023573","X",14237855,14242632,4778,"+","WormBase","gene",NA,NA,"1","Cbr-pgp-14","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000262"
"58","WBGene00023574","X",14248858,14254058,5201,"+","WormBase","gene",NA,NA,"1","CBG00082","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0020717"
"59","WBGene00023575","X",14254220,14258745,4526,"-","WormBase","gene",NA,NA,"1","Cbr-pgp-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000262"
"60","WBGene00023576","X",14260186,14274579,14394,"+","WormBase","gene",NA,NA,"1","Cbr-rgs-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000441"
"61","WBGene00023577","X",14276795,14281754,4960,"+","WormBase","gene",NA,NA,"1","Cbr-pgp-12","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000262"
"62","WBGene00023578","X",14290110,14291344,1235,"+","WormBase","gene",NA,NA,"1","Cbr-nhr-27","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0012568"
"63","WBGene00023579","X",14291433,14294463,3031,"-","WormBase","gene",NA,NA,"1","Cbr-ugt-50","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0003126"
"64","WBGene00023580","X",14299882,14311936,12055,"-","WormBase","gene",NA,NA,"1","Cbr-adt-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0007703"
"65","WBGene00023581","X",14322119,14327178,5060,"+","WormBase","gene",NA,NA,"1","Cbr-nhr-17","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0007702"
"66","WBGene00023582","X",14327333,14328015,683,"+","WormBase","gene",NA,NA,"1","Cbr-nlp-76","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013111"
"67","WBGene00023583","X",14345449,14349521,4073,"-","WormBase","gene",NA,NA,"1","Cbr-zmp-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0007701"
"68","WBGene00023584","X",14355003,14356430,1428,"+","WormBase","gene",NA,NA,"1","CBG00099","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0007700"
"69","WBGene00023585","X",14359575,14360642,1068,"+","WormBase","gene",NA,NA,"1","Cbr-col-182","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0011505"
"70","WBGene00023586","X",14362247,14372793,10547,"+","WormBase","gene",NA,NA,"1","Cbr-ivns-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0007699"
"71","WBGene00023587","X",14384214,14386717,2504,"+","WormBase","gene",NA,NA,"1","CBG00105","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013589"
"72","WBGene00023588","X",14392481,14393252,772,"+","WormBase","gene",NA,NA,"1","CBG00107","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000107"
"73","WBGene00023589","X",14406323,14421356,15034,"+","WormBase","gene",NA,NA,"1","Cbr-npr-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009024"
"74","WBGene00023591","X",14433961,14454899,20939,"+","WormBase","gene",NA,NA,"1","Cbr-scd-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0003312"
"75","WBGene00023592","X",14460130,14463704,3575,"-","WormBase","gene",NA,NA,"1","Cbr-lips-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009023"
"76","WBGene00023593","X",14465806,14473524,7719,"-","WormBase","gene",NA,NA,"1","Cbr-tbc-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009022"
"77","WBGene00023594","X",14473661,14478374,4714,"-","WormBase","gene",NA,NA,"1","Cbr-atf-6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009020"
"78","WBGene00023595","X",14481489,14482641,1153,"+","WormBase","gene",NA,NA,"1","CBG00119","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013277"
"79","WBGene00023596","X",14483141,14490633,7493,"-","WormBase","gene",NA,NA,"1","CBG00120","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000163"
"80","WBGene00023597","X",14491647,14493506,1860,"+","WormBase","gene",NA,NA,"1","Cbr-cdf-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009019"
"81","WBGene00023598","X",14493495,14494084,590,"-","WormBase","gene",NA,NA,"1","CBG00122","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0011995"
"82","WBGene00023599","X",14496552,14498481,1930,"+","WormBase","gene",NA,NA,"1","Cbr-odr-7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0003238"
"83","WBGene00023600","X",14498881,14502699,3819,"-","WormBase","gene",NA,NA,"1","CBG00124","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001960"
"84","WBGene00023601","X",14503289,14506065,2777,"+","WormBase","gene",NA,NA,"1","CBG00125","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001335"
"85","WBGene00023602","X",14506618,14507594,977,"-","WormBase","gene",NA,NA,"1","CBG00126","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0008445"
"86","WBGene00023603","X",14514894,14523193,8300,"-","WormBase","gene",NA,NA,"1","Cbr-tsct-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009018"
"87","WBGene00023604","X",14529193,14530920,1728,"-","WormBase","gene",NA,NA,"1","CBG00128","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000553"
"88","WBGene00023605","X",14531238,14533503,2266,"-","WormBase","gene",NA,NA,"1","CBG00129","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000553"
