"","gene_id","seqnames","start","end","width","strand","source","type","score","phase","gene_version","gene_source","gene_biotype","transcript_id","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","Orthogroup"
"1","CSP29.g1","CSP29.scaffold1177_cov147",76,315,240,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000219"
"2","CSP29.g10","CSP29.scaffold1177_cov147",37985,38380,396,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0013809"
"3","CSP29.g100","CSP29.scaffold30940_cov143",62739,63341,603,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005099"
"4","CSP29.g1000","CSP29.scaffold640_cov165",206050,206421,372,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000062"
"5","CSP29.g10000","CSP29.scaffold1_cov172",511699,513875,2177,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000197"
"6","CSP29.g10001","CSP29.scaffold1_cov172",512790,513032,243,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000197"
"7","CSP29.g10002","CSP29.scaffold1_cov172",515396,520202,4807,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0019934"
"8","CSP29.g10003","CSP29.scaffold1_cov172",523176,523769,594,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"9","CSP29.g10004","CSP29.scaffold1_cov172",527077,527289,213,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0019935"
"10","CSP29.g10005","CSP29.scaffold1_cov172",530291,531072,782,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0002743"
"11","CSP29.g10006","CSP29.scaffold1_cov172",531245,532957,1713,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000058"
"12","CSP29.g10007","CSP29.scaffold1_cov172",535511,536816,1306,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000760"
"13","CSP29.g10008","CSP29.scaffold1_cov172",538123,540194,2072,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000323"
"14","CSP29.g10009","CSP29.scaffold1_cov172",542984,544288,1305,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0002316"
"15","CSP29.g1001","CSP29.scaffold640_cov165",206675,207058,384,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000055"
"16","CSP29.g10010","CSP29.scaffold1_cov172",544377,545327,951,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0002317"
"17","CSP29.g10011","CSP29.scaffold1_cov172",546553,547584,1032,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0002317"
"18","CSP29.g10012","CSP29.scaffold1_cov172",547748,555571,7824,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000761"
"19","CSP29.g10013","CSP29.scaffold1_cov172",556033,557131,1099,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0015914"
"20","CSP29.g10014","CSP29.scaffold1_cov172",557327,558428,1102,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0015914"
"21","CSP29.g10015","CSP29.scaffold1_cov172",559209,561237,2029,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000114"
"22","CSP29.g10016","CSP29.scaffold1_cov172",561722,563571,1850,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000378"
"23","CSP29.g10017","CSP29.scaffold1_cov172",564404,565844,1441,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000161"
"24","CSP29.g10018","CSP29.scaffold1_cov172",565941,567000,1060,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000161"
"25","CSP29.g10019","CSP29.scaffold1_cov172",567488,568628,1141,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000161"
"26","CSP29.g1002","CSP29.scaffold640_cov165",207940,208806,867,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0012713"
"27","CSP29.g10020","CSP29.scaffold1_cov172",569357,571053,1697,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000249"
"28","CSP29.g10021","CSP29.scaffold1_cov172",571158,573594,2437,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000249"
"29","CSP29.g10022","CSP29.scaffold1_cov172",573798,574340,543,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"30","CSP29.g10023","CSP29.scaffold1_cov172",574651,575093,443,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"31","CSP29.g10024","CSP29.scaffold1_cov172",575529,576536,1008,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000102"
"32","CSP29.g10025","CSP29.scaffold1_cov172",576697,578156,1460,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000071"
"33","CSP29.g10026","CSP29.scaffold1_cov172",578353,587404,9052,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0015915"
"34","CSP29.g10027","CSP29.scaffold1_cov172",589509,589772,264,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0015915"
"35","CSP29.g10028","CSP29.scaffold1_cov172",590205,592207,2003,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0015196"
"36","CSP29.g10029","CSP29.scaffold1_cov172",592667,593842,1176,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010515"
"37","CSP29.g1003","CSP29.scaffold640_cov165",209696,210562,867,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0012713"
"38","CSP29.g10030","CSP29.scaffold1_cov172",596164,596785,622,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010515"
"39","CSP29.g10031","CSP29.scaffold1_cov172",598901,599654,754,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"40","CSP29.g10032","CSP29.scaffold1_cov172",599886,601359,1474,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0002744"
"41","CSP29.g10033","CSP29.scaffold1_cov172",602831,605399,2569,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0001621"
"42","CSP29.g10034","CSP29.scaffold1_cov172",605704,606890,1187,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0002055"
"43","CSP29.g10035","CSP29.scaffold1_cov172",609457,611950,2494,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000529"
"44","CSP29.g10036","CSP29.scaffold1_cov172",613146,614702,1557,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0003518"
"45","CSP29.g10037","CSP29.scaffold1_cov172",615412,616848,1437,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000821"
"46","CSP29.g10038","CSP29.scaffold1_cov172",617492,619965,2474,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005100"
"47","CSP29.g10039","CSP29.scaffold1_cov172",620923,622475,1553,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000071"
"48","CSP29.g1004","CSP29.scaffold640_cov165",211317,211727,411,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000009"
"49","CSP29.g10040","CSP29.scaffold1_cov172",622732,624914,2183,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0001442"
"50","CSP29.g10041","CSP29.scaffold1_cov172",626481,628991,2511,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0003519"
"51","CSP29.g10042","CSP29.scaffold1_cov172",629125,630243,1119,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000269"
"52","CSP29.g10043","CSP29.scaffold1_cov172",630763,631833,1071,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000269"
"53","CSP29.g10044","CSP29.scaffold1_cov172",632395,633583,1189,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000269"
