"","gene_id","seqnames","start","end","width","strand","source","type","score","phase","gene_version","gene_source","gene_biotype","transcript_id","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","Orthogroup"
"1","CSP28.g1","CSP28.scaffold1720_cov160",1,1010,1010,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0013726"
"2","CSP28.g10","CSP28.scaffold182_cov88",8256,9385,1130,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0001046"
"3","CSP28.g100","CSP28.scaffold3350_cov80",149026,149871,846,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0020616"
"4","CSP28.g1000","CSP28.scaffold16_cov82",522741,526108,3368,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005575"
"5","CSP28.g10000","CSP28.scaffold3334_cov85",195288,197142,1855,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000475"
"6","CSP28.g10001","CSP28.scaffold3334_cov85",197269,198736,1468,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000475"
"7","CSP28.g10002","CSP28.scaffold3334_cov85",200523,200735,213,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0011878"
"8","CSP28.g10003","CSP28.scaffold3334_cov85",200883,201387,505,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"9","CSP28.g10004","CSP28.scaffold3334_cov85",202098,202316,219,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0011878"
"10","CSP28.g10005","CSP28.scaffold3334_cov85",202793,205917,3125,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0001504"
"11","CSP28.g10006","CSP28.scaffold3334_cov85",206348,206691,344,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0012963"
"12","CSP28.g10007","CSP28.scaffold3334_cov85",206760,208009,1250,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"13","CSP28.g10008","CSP28.scaffold3334_cov85",208513,209095,583,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"14","CSP28.g10009","CSP28.scaffold3334_cov85",209240,211191,1952,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0020170"
"15","CSP28.g1001","CSP28.scaffold16_cov82",526432,527575,1144,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005575"
"16","CSP28.g10010","CSP28.scaffold3334_cov85",212692,213228,537,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0011122"
"17","CSP28.g10011","CSP28.scaffold3334_cov85",215028,217432,2405,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0013945"
"18","CSP28.g10012","CSP28.scaffold3334_cov85",220243,220623,381,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0001505"
"19","CSP28.g10013","CSP28.scaffold3334_cov85",220910,223015,2106,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0001505"
"20","CSP28.g10014","CSP28.scaffold3334_cov85",224493,225741,1249,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0011123"
"21","CSP28.g10015","CSP28.scaffold3334_cov85",226833,227281,449,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0002968"
"22","CSP28.g10016","CSP28.scaffold3334_cov85",227480,227979,500,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0002968"
"23","CSP28.g10017","CSP28.scaffold3334_cov85",228044,228576,533,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0013630"
"24","CSP28.g10018","CSP28.scaffold3334_cov85",228960,229457,498,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000985"
"25","CSP28.g10019","CSP28.scaffold3334_cov85",229782,230294,513,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0013629"
"26","CSP28.g1002","CSP28.scaffold16_cov82",528106,528858,753,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0012782"
"27","CSP28.g10020","CSP28.scaffold3334_cov85",230816,231332,517,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000985"
"28","CSP28.g10021","CSP28.scaffold3334_cov85",231365,231805,441,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"29","CSP28.g10022","CSP28.scaffold3334_cov85",231975,232481,507,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000985"
"30","CSP28.g10023","CSP28.scaffold3334_cov85",232865,233398,534,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0013630"
"31","CSP28.g10024","CSP28.scaffold3334_cov85",233694,235109,1416,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000986"
"32","CSP28.g10025","CSP28.scaffold3334_cov85",235731,236212,482,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"33","CSP28.g10026","CSP28.scaffold3334_cov85",237002,238235,1234,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0004003"
"34","CSP28.g10027","CSP28.scaffold3334_cov85",239212,242378,3167,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0006684"
"35","CSP28.g10028","CSP28.scaffold3334_cov85",243993,244240,248,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0015139"
"36","CSP28.g10029","CSP28.scaffold3334_cov85",245489,247555,2067,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0006685"
"37","CSP28.g1003","CSP28.scaffold16_cov82",530631,531822,1192,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010687"
