"","gene_id","seqnames","start","end","width","strand","source","type","score","phase","gene_version","gene_source","gene_biotype","transcript_id","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","Orthogroup"
"1","CBOVI.g1","CBOVI.ctg00001_chrV",19378,23528,4151,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0007400"
"2","CBOVI.g10","CBOVI.ctg00001_chrV",72925,75751,2827,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0007163"
"3","CBOVI.g100","CBOVI.ctg00001_chrV",417212,418825,1614,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0007154"
"4","CBOVI.g1000","CBOVI.ctg00001_chrV",4851254,4853895,2642,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0004037"
"5","CBOVI.g10000","CBOVI.ctg00007_chrI",183489,184812,1324,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005923"
"6","CBOVI.g10001","CBOVI.ctg00007_chrI",185149,186470,1322,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005917"
"7","CBOVI.g10002","CBOVI.ctg00007_chrI",192801,195294,2494,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005924"
"8","CBOVI.g10003","CBOVI.ctg00007_chrI",196297,199126,2830,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0003791"
"9","CBOVI.g10004","CBOVI.ctg00007_chrI",207323,220293,12971,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010295"
"10","CBOVI.g10005","CBOVI.ctg00007_chrI",220861,221965,1105,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0012440"
"11","CBOVI.g10006","CBOVI.ctg00007_chrI",222118,223195,1078,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010302"
"12","CBOVI.g10007","CBOVI.ctg00007_chrI",224396,228203,3808,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA
"13","CBOVI.g10008","CBOVI.ctg00007_chrI",230828,237233,6406,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0003590"
"14","CBOVI.g10009","CBOVI.ctg00007_chrI",237840,244128,6289,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005331"
"15","CBOVI.g1001","CBOVI.ctg00001_chrV",4854086,4855804,1719,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0001226"
"16","CBOVI.g10010","CBOVI.ctg00007_chrI",245041,247354,2314,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005330"
