"","gene_id","seqnames","start","end","width","strand","source","type","score","phase","gene_version","gene_source","gene_biotype","transcript_id","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","Orthogroup"
"1","Sp34_10000100","Sp34_Chr1",3025,3855,831,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0018859"
"2","Sp34_10000200","Sp34_Chr1",12640,13470,831,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0018859"
"3","Sp34_10000300","Sp34_Chr1",15959,20678,4720,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0021734"
"4","Sp34_10000400","Sp34_Chr1",22255,23085,831,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0018859"
"5","Sp34_10000510","Sp34_Chr1",30340,35360,5021,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000193"
"6","Sp34_10000600","Sp34_Chr1",35543,38534,2992,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0012611"
"7","Sp34_10000700","Sp34_Chr1",38881,40183,1303,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0008730"
"8","Sp34_10000810","Sp34_Chr1",40445,43947,3503,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0003780"
"9","Sp34_10000820","Sp34_Chr1",44451,46915,2465,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010814"
"10","Sp34_10000900","Sp34_Chr1",47517,48219,703,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005861"
"11","Sp34_10001000","Sp34_Chr1",48761,55620,6860,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0003669"
"12","Sp34_10001100","Sp34_Chr1",56046,56321,276,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000943"
"13","Sp34_10001200","Sp34_Chr1",58405,60447,2043,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000299"
"14","Sp34_10001300","Sp34_Chr1",64676,65685,1010,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000632"
"15","Sp34_10001400","Sp34_Chr1",67527,68336,810,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0021735"
"16","Sp34_10001500","Sp34_Chr1",72050,79955,7906,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005862"
"17","Sp34_10001600","Sp34_Chr1",80379,86642,6264,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005863"
"18","Sp34_10001710","Sp34_Chr1",86953,88022,1070,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0012852"
"19","Sp34_10001720","Sp34_Chr1",88483,89473,991,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0015537"
"20","Sp34_10001800","Sp34_Chr1",90355,92559,2205,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005864"
"21","Sp34_10001900","Sp34_Chr1",92819,99406,6588,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010052"
"22","Sp34_10002000","Sp34_Chr1",105900,108443,2544,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0001862"
"23","Sp34_10002100","Sp34_Chr1",108780,111217,2438,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0008988"
"24","Sp34_10002200","Sp34_Chr1",115146,119973,4828,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0000958"
"25","Sp34_10002300","Sp34_Chr1",120728,121792,1065,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010825"
"26","Sp34_10002400","Sp34_Chr1",122106,124373,2268,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0005894"
"27","Sp34_10002500","Sp34_Chr1",125074,127311,2238,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010824"
"28","Sp34_10002610","Sp34_Chr1",128447,132242,3796,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,"OG0010823"
