,seq_id,seqnames,type,start,end,width,strand,gene_id,gene_biotype,Orthogroup
1,elegans_IV,IV,gene,9599178,9601695,2518,-,WBGene00000002,protein_coding,OG0009988
2,elegans_X,X,gene,2552260,2557736,5477,+,WBGene00000004,protein_coding,OG0006424
3,elegans_I,I,gene,2571740,2576020,4281,-,WBGene00000006,protein_coding,OG0009132
4,elegans_II,II,gene,1386870,1391639,4770,+,WBGene00000008,protein_coding,OG0006477
5,elegans_I,I,gene,2255921,2272866,16946,-,WBGene00000020,protein_coding,OG0008728
6,elegans_X,X,gene,3798182,3799741,1560,+,WBGene00000033,protein_coding,OG0009038
7,elegans_II,II,gene,192509,194558,2050,-,WBGene00000034,protein_coding,OG0006703
8,elegans_X,X,gene,16367293,16373789,6497,+,WBGene00000035,protein_coding,OG0009077
9,elegans_I,I,gene,3301368,3307935,6568,-,WBGene00000036,protein_coding,OG0007064
10,elegans_II,II,gene,14205635,14210214,4580,+,WBGene00000037,protein_coding,OG0005667
11,elegans_X,X,gene,5092481,5097067,4587,-,WBGene00000039,protein_coding,OG0006361
12,elegans_X,X,gene,11339874,11343327,3454,+,WBGene00000040,protein_coding,OG0006483
13,elegans_X,X,gene,6702549,6709308,6760,+,WBGene00000042,protein_coding,OG0008612
14,elegans_III,III,gene,6509445,6514773,5329,-,WBGene00000044,protein_coding,OG0006619
15,elegans_I,I,gene,4359207,4362548,3342,+,WBGene00000045,protein_coding,OG0007839
16,elegans_X,X,gene,10412725,10416661,3937,+,WBGene00000047,protein_coding,OG0006564
17,elegans_X,X,gene,13642313,13646898,4586,-,WBGene00000048,protein_coding,OG0006790
18,elegans_X,X,gene,4022267,4025641,3375,+,WBGene00000049,protein_coding,OG0009101
19,elegans_X,X,gene,13532853,13536459,3607,+,WBGene00000051,protein_coding,OG0009175
20,elegans_II,II,gene,8174937,8177195,2259,-,WBGene00000053,protein_coding,OG0009440
21,elegans_V,V,gene,8552695,8555383,2689,+,WBGene00000054,protein_coding,OG0010371
22,elegans_V,V,gene,8561216,8564345,3130,+,WBGene00000055,protein_coding,OG0010370
23,elegans_V,V,gene,2608652,2615262,6611,+,WBGene00000056,protein_coding,OG0005120
24,elegans_V,V,gene,15551157,15559147,7991,-,WBGene00000057,protein_coding,OG0005615
25,elegans_II,II,gene,14373831,14377896,4066,-,WBGene00000059,protein_coding,OG0007529
26,elegans_V,V,gene,3651656,3659572,7917,-,WBGene00000062,protein_coding,OG0006954
27,elegans_V,V,gene,5976024,5981478,5455,+,WBGene00000069,protein_coding,OG0007031
28,elegans_III,III,gene,3774896,3786477,11582,-,WBGene00000070,protein_coding,OG0006625
29,elegans_V,V,gene,5624727,5630892,6166,-,WBGene00000071,protein_coding,OG0006035
30,elegans_X,X,gene,4854065,4860045,5981,-,WBGene00000072,protein_coding,OG0006338
31,elegans_V,V,gene,12009540,12013406,3867,-,WBGene00000073,protein_coding,OG0010058
32,elegans_X,X,gene,13687955,13695801,7847,+,WBGene00000074,protein_coding,OG0006764
33,elegans_III,III,gene,7231039,7232882,1844,-,WBGene00000080,protein_coding,OG0006258
34,elegans_III,III,gene,295654,298556,2903,-,WBGene00000081,protein_coding,OG0008158
35,elegans_X,X,gene,12678832,12689279,10448,+,WBGene00000082,protein_coding,OG0007703
36,elegans_X,X,gene,9650999,9653116,2118,-,WBGene00000085,protein_coding,OG0010255
37,elegans_X,X,gene,751203,759734,8532,-,WBGene00000086,protein_coding,OG0007736
38,elegans_I,I,gene,14850052,14855827,5776,-,WBGene00000088,protein_coding,OG0008987
39,elegans_I,I,gene,13543068,13545188,2121,-,WBGene00000089,protein_coding,OG0007810
40,elegans_II,II,gene,11519328,11527054,7727,-,WBGene00000090,protein_coding,OG0005679
41,elegans_X,X,gene,5289724,5303600,13877,-,WBGene00000092,protein_coding,OG0008504
42,elegans_IV,IV,gene,13368276,13369412,1137,-,WBGene00000093,protein_coding,OG0009597
43,elegans_I,I,gene,10193925,10196997,3073,-,WBGene00000095,protein_coding,OG0007847
44,elegans_V,V,gene,14012333,14013644,1312,+,WBGene00000097,protein_coding,OG0010248
45,elegans_X,X,gene,9082946,9113619,30674,+,WBGene00000100,protein_coding,OG0009002
46,elegans_II,II,gene,7472729,7478537,5809,-,WBGene00000101,protein_coding,OG0010207
47,elegans_IV,IV,gene,11022603,11025870,3268,+,WBGene00000109,protein_coding,OG0008455
48,elegans_II,II,gene,1306240,1310133,3894,-,WBGene00000112,protein_coding,OG0006513
49,elegans_II,II,gene,11729055,11731198,2144,+,WBGene00000114,protein_coding,OG0007893
50,elegans_III,III,gene,5856018,5859179,3162,+,WBGene00000115,protein_coding,OG0006166
51,elegans_X,X,gene,7140504,7143641,3138,-,WBGene00000116,protein_coding,OG0008639
